Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
"Cefn Du, pit group S6",Wk-9280,4150BC - 3800BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Group of 6 pits, none of which had datable artefacts.",[None recorded],Y
"Cefn Du, structure 1",Wk-9273,AD380 - AD770,Wales,Isle of Anglesey,"Charcoal (barley, grain)",Radiometric,Clay and stone walled roundhouse with multi-phase history.,[None recorded],Y
"Cefn Du, structure 1",Wk-9277,410BC - 110BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Clay and stone walled roundhouse with multi-phase history.,"Date relates to the final use of the earliest hearth prior to rebuilding, not to the building of the roundhouse itself (Cuttler et al 2012, 14).",Y
"Cefn Du, structure 1",Wk-9279,190BC - AD140,Wales,Isle of Anglesey,Charcoal,Radiometric,Clay and stone walled roundhouse with multi-phase history.,[None recorded],Y
"Cefn Du, structure 3",Wk-9274,350BC - AD130,Wales,Isle of Anglesey,"Charcoal (wheat, grain)",Radiometric,"Probable remains of rectangular building, granary or drying rack.",[None recorded],Y
"Cefn Du, structure 4",Wk-9276,AD30 - AD330,Wales,Isle of Anglesey,"Charcoal (cereal, grain)",Radiometric,Nine-poster granary.,[None recorded],Y
Cleifiog Uchaf,Beta-127198,1860BC - 1110BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Prehistoric and Romano-British site.,[None recorded],N
Cleifiog Uchaf,Beta-127199,3370BC - 2490BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Prehistoric and Romano-British site.,[None recorded],N
Cleifiog Uchaf,Beta-127200,2880BC - 2290BC,Wales,Isle of Anglesey,[Not recorded],[Not recorded],"Prehistoric and Romano-British site (Davidson 1999, 70).",[None recorded],N
Cleifiog Uchaf,Beta-127203,2190BC - 1920BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],"Prehistoric and Romano-British site (Davidson 1999, 70).",[None recorded],N
Cleifiog Uchaf,Beta-127204,2200BC - 1930BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],"Prehistoric and Romano-British site (Davidson 1999, 70).",[None recorded],N
Cors Goch,OxA-6090,AD580 - AD770,Wales,Isle of Anglesey,Peat,AMS,Palaeoenvironmental study of a valley mire.,[None recorded],N
Cors Goch,OxA-6093,790BC - 400BC,Wales,Isle of Anglesey,Peat,AMS,Palaeoenvironmental study of a valley mire.,[None recorded],N
Figin Fawr,Beta-106684,2460BC - 2020BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Burnt mound.,[None recorded],N
"Glyn, Llanbedrgoch",Beta-101526,AD890 - AD1270,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N
"Glyn, Llanbedrgoch",Beta-101535,AD720 - AD980,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N
"Glyn, Llanbedrgoch",Beta-101536,3760BC - 3370BC,Wales,Isle of Anglesey,Charcoal,[Not recorded],Early medieval settlement enclosed by a substantial ditch.,[None recorded],N
"Glyn, Llanbedrgoch",Beta-113383,,Wales,Isle of Anglesey,[Not recorded],[Not recorded],Early medieval settlement.,[None recorded],N
