FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
464,,,fisk-st.sild-neo./kran. + hale synlig,,,,,,Tidligere 464/74a.  Der er to genstande registreret under FUM-N-464/74. 2 fisk: 1 i moler + 1 i cementsten. 464/74a: fisk i moler. Kranium synligt (doesal tryk). 464/74b: fisk i cementsten. Hel fisk minus det yderste af halepartiet. (ventral tryk)  ,,,,,,,,,De 2 fossiler delt på hver sit nr. (FUM-N-1893),,m,,×,
465,,,fisk-st.sild-neo./hel-delvis skjult,,,,,,,,,,,,,,,,,m,,×,
466,,,fisk-st.sild-neo./fisk+larve/kran + ryghvirvler,,,,,,,,,,,,,,,,,m,,×,
467,1,+modplade,Fisk,,Sild,Cluperiformes,,FUM-N-467x1 og 467x2 er i samme sten.   FMP. u/nummer,Sildefisk i skifer. Mangler hoved og hale,Vest for Stolle klint,M. Breiner,65mm*20mm,,Stolleklint Ler,God,1,,"Bonde, N.",,m,5,,
467,2,-modplade,Fisk,,Guldlaks,Argentinoid,,FUM-N-467x1 og 467x2 er i samme sten.   FMP. u/nummer,Guldlaks i skifer. Den bagerste tredjedel mangle. Skælklædningen bevaret.,Vest for Stolle klint,M. Breiner,22mm*8mm,,Stolleklint Ler,ok,1,,,,m,5,×,
468,,,fisk/skæl,,,,,,,,,,,,,,,,,m,,×,
469,,,fisk-osteoglossid+clopid/+skæl,,,,,,,,,,,,,,,,,m,,×,
470,,,fisk-ubestemt/krop+haleparti+besk.kran.,,,,,,,,,,,,,,,Bonde,,m,,×,
471,,,fisk-ubestemt/halefragm.+delaf rygs.,,,,,,,,,,,,,,,,,m,,×,
472,,,fisk-hel,,,,,,,,,,,,,,,emnekort,,mgl. v. rev 04.,,÷,
473,,,fisk-neoclupavus/hel fisk + insekter+diatom.,,,,,,,,,,,,,,,,,m,,×,
474,,,fisk-neoclupavus/aftryk af hel fisk,,,,,,,,,,,,,,,,,m,,×,
475,,,fisk-stime-neoclupavus/hele+fragm.,,,,,,,,,,,,,,,,,m + 14,,×,
476,,,fisk-neocl./hele fisk,,,,,,,,,,,,,,,,,m,,×,
477,,,fisk-neocl. /hele fisk,,,,,,,,,,,,,,,,,m,,×,
478,,,fisk-neocl./hel fisk,,,,,,,,,,,,,,,,,m,,×,
479,,,fisk-neocl./kran.+rygs.+haleparti,,,,,,,,,,,,,,,,,m,,×,
480,,,fisk-neol.-snegle/mange fisk og snegle,,,,,,,,,,,,,,,,,m+m-stue,,×,
481,,,fisk-ubest./finnestråler,,,,,,,,,,,,,,,,,m,,×,
482,,,fisk-ubest./hvirvels.,,,,,,,,,,,,,,,,,9,,×,
483,,,fisk-ubest.,,,,,,,,,,,,,,,Bonde. emnekort-udlånt til Bonde 1980,,mgl. v. rev 04.,,÷,
484,,,fisk-furichtyodes/hel fisk,,,,,,,,,,,,,,,Bonde,,m,,×,
485,,,fisk-ulk/hoved,,,,,,,,,,,,,,,Bonde,,11,,×,
486,,,fisk-gadoid/del af hvirvels. + knogler,,,,,,,,,,,,,,,Bonde,,m + 41,,×,
487,,,fisk-knogler/+ aftryk af musling,,,,,,,,,,,,,,,Bonde  (er i 2 poser i magasin),,m,,×,
488,,,fisk-torskefisk/knogler+aftryk,,,,,,,,,,,,,,,Bonde,,m,,×,
489,,,fisk-ubest./krop uden hoved og hale.,,,,,,,,,,,,,,,Bonde,,m,,×,
490,,,fisk-ubest./hale + del af hvirvels.,,,,,,,,,,,,,,,Bonde,,m + 41,,×,
491,,,fisk-rhinocephlus/del af kran.,,,,,,,,,,,,,,,Bonde,,41,,×,
492,,,fisk-neocl./hel fisk,,,,,,,,,,,,,,,Bonde,,m,,×,
493,,,fisk-slangemakrel/hel fisk uden snude,,,,,,,,,,,,,,,Bonde,,2B,,×,
494,,,fisk-ubestemt,,,,,,,,,,,,,,,Bonde,,fandt. v. rev 04.,,÷,
495,,,fisk-scombrid?/kran. + halv hvirvelj.,,,,,,,,,,,,,,,Bonde,,12,,×,
496,,,fisk-havaborre/bagkr. + haleparti,,,,,,,,,,,,,,,Bonde,,61,,×,
497,,,Fisk-polymixiid/krop+kran.+haleparti+bug,,,,,,,,,,,,,,,Bonde,,m,,×,
498,,,fisk-neocl./1.bagkr.+halep. 2.kran. + bagk.,,,,,,,,,,,,,,,Bonde. 2 forsk stk. ???,,m,,×,
499,,,fisk-neocl./kran. + hvirvelsøjle,,,,,,,,,,,,,,,,,m,,×,
500,,,fisk-scorpaennocottus?/bagkrop,,,,,,,,,,,,,,,Bonde,,m,,×,
501,,,fisk-neocl./hel fisk,,,,,,,,,,,,,,,,,m,,×,
502,,,fisk+insekt/neocl/kran. Rygs.fragm. + vårflue/hel,,,,,,,,,,,,,,,G.L 2 forsk.stk. ???,,m,,×,
503,,,fisk-neocl./hel,,,,,,,,,,,,,,,Bonde,,m,,×,
504,,,fisk-hajtand/hel,,,,,,,,,,,,,,,Bonde. emnekort,,mgl.v. rev 04.,,÷,
505,,,fisk-ubest./skæl+ rester,,,,,,,,,,,,,,,,,m,,×,
506,,,fisk-ubest./knoglerester+diatomeer,,,,,,,,,,,,,,,Bonde,,m+m-stue,,×,
507,,,fisk-neocl/1.krøllet fisk/2.kran+hvirvelsøjle,,,,,,,,,,,,,,,2 forsk.stk. ???,,m,,×,
508,,,fisk-ubest./del af bagkr. M. skæl,,,,,,,,,,,,,,,,,m,,×,
509,,,fisk/hel skæl,,,,,,,,,,,,,,,,,m,,×,
510,,,fisk-scombrid/fragmenter+mange skæl.,,,,,,,,,,,,,,,Bonde,,m-stue,,×,
