Vejnavn,Tællested,År,Hast.begr.,Gns. hast.
,,,km/t,km/t
RANDERSVEJ,s.f. Bogenhøjvej,2013,80,84
RANDERSVEJ,n.f. Pannerupvej,2009,70,66
RASBORGVEJ,s.f. Bøgeskovvej,2008,80,50
RAVNHOLTVEJ,ø.f. Ravnholt by (v.nr. 119),2000,40,41
REVENTLOWSVEJ,nø.f. Monradsvej,2006,50,35
RINGVEJ SYD,ø.f. Saralyst Allé,2013,70,67
RINGVEJ SYD,ø.f. Holme Parkvej,2002,80,73
RINGVEJ SYD,v.f. Holme Parkvej,2002,80,72
RINGVEJ SYD,sø.f. Søren Nymarksvej,2011,70,63
RINGVEJ SYD,sø.f. Søndervangs Allé,2011,70,55
RINGVEJ SYD,nv.f. Søndervangs Allé,2011,70,56
RINGVEJ SYD,sø.f. Skanderborgvej,2011,70,68
RISTRUPVEJ,n.f. Sabro Kirkevej,2008,50,43
RISVANGS ALLÉ,nv.f. Bethesdavej,2010,50,48
RISVANGS ALLÉ,sø.f. Spørring Å,2012,80,74
ROARSVEJ,n.f. Åbyvej,2009,50,26
ROLIGHEDSVEJ,n.f. Harald Selmers Vej,2010,50,54
ROSBJERGVEJ,s.f. Dansk Supermarkeds p-plads,2013,60,61
ROSBJERGVEJ,150 m n.f. Silkeborgvej,2013,60,59
ROSBJERGVEJ,s.f. Selkærvej,2013,60,59
ROSENVANGS ALLÉ,s.f. Skanderborgvej,2007,50,40
ROSENVANGS ALLÉ,s.f. Uraniavej,2007,50,51
ROSENVANGS ALLÉ,nv.f. Holmevej,2007,50,55
ROSENVANGS ALLÉ,v.f. Oddervej,2011,50,45
RUNEVEJ,midt,2006,50,52
RUNGSTEDVEJ,ø.f. Holtevej,2006,50,32
RYSLINGEVEJ,ud for nr. 12-14,2004,50,31
RYTTERKNÆGTEN,v.f. Finnedalsvej,2011,50,29
RÆTEBØLVEJ,ø.f. Espenhøjvej,2010,80,57
RÅHØJVEJ,v.f. Råhøjen,2013,50,50
SABRO KIRKEVEJ,v.f. Agerbærvej,2006,50,51
SABRO SKOLEVEJ,n.f. Sabro-Korsvejskolen,2008,50,37
SAMSØGADE,nø.f. Hjarnøgade,2012,50,33
SANDMOSEVEJ,ved nr. 21,2009,50,56
SARALYST ALLÉ,n.f. Ringvej Syd,2008,50,35
SASTRUPVEJ,ø.f. Georgsmindevej,2012,50,41
SATURNVEJ,s.f. Vilhelm Becks Vej,2006,50,31
SILKEBORGVEJ,v.f. Højbyvej,2012,80,80
SILKEBORGVEJ,ø.f. Rosbjergvej,2013,80,72
SILKEBORGVEJ,v.f. Årslev Møllevej,2012,70,69
SILKEBORGVEJ,ø.f. Hovedgaden,2012,70,70
SILKEBORGVEJ,ø.f. Engbakken,2010,70,62
SILKEBORGVEJ,v.f. Viby Ringvej,2012,70,59
SILKEBORGVEJ,ø.f. Viby Ringvej,2013,60,51
SILKEBORGVEJ,ø.f. Vestre Ringgade,2013,50,46
SILKEBORGVEJ,ø.f. Dollerupvej,2002,50,56
SJÆLLANDSGADE,nv. f. Thunøgade,2012,50,26
SKANDERBORGVEJ,sv.f. Grøndalsvej,2013,70,60
SKANDERBORGVEJ,sv.f. Gråstengade,2013,60,51
SKEJBYVEJ,ø.f. Skejbytoften,2010,60,61
SKIBBYVEJ,nø.f. Balsgårdsvej,2009,50,59
SKJOLDHØJVEJ,v.f. Venøvej,2013,70,62
SKOLESVINGET,n.f. Fortebakken,2004,50,21
SKOLEVANGS ALLÉ,s.ø. for Poppelvej,2009,50,41
SKOVAGERVEJ,nø.f. Tretommervej,2007,50,42
SKOVVANGSVEJ,ø.f. Finsensgade,2004,50,44
SKT. PAULS GADE,v.f. Marselisborg Allé,2013,50,30
SKÆRING HEDEVEJ,v.f. sti ved Skæringvangen,2006,50,51
SKÆRING HEDEVEJ,ø.f. Skæring Busvej,2006,50,54
SKÆRING STRANDVEJ,"s,f, Buslomme v. nr. 50",2006,50,53
SKØDSTRUPVEJ,ø.f. Sortemosevej,2012,50,53
SKØDSTRUPVEJ,nø.f. Hjortshøjparken,2013,60,61
SLETVEJ,v.f. Industrivej,2005,60,49
SLETVEJ,ø.f. Møllebakken,2005,60,57
SLETVEJ,v.f. Ellemosevænget,2013,50,57
SLETVEJ,v.f. Christian X's Vej,2004,50,46
SMEDEBAKKEN,s.f. Bjørnshøjvej,2005,50,35
SNEBÆRVEJ,n.f. Hjulbjergvej,2013,50,33
SOLBJERG HOVEDGADE,ved nr. 43,2009,50,53
SOPHUS BAUDITZ VEJ,n.f. Silkeborgvej,2009,50,33
STATIONSGADE,s.f. Harald Selmers Vej,2004,50,23
STAVTRUPVEJ,ved nr. 18,2007,50,39
STENAGERVEJ,s.f. Elmsager,2006,50,52
STENBÆKVEJ,n.f. Tranebærvej,2011,50,57
STILLINGVEJ,n.f. Gammel Mosevej,2013,80,88
STILLINGVEJ,s.f. Framlevvej,2004,80,49
STILLINGVEJ,v.f. Harlev ml. motorvejsrammer,2004,80,40
STILLINGVEJ,s.f. Herningmotorvejen,2004,80,46
STILLINGVEJ,s.f. Framlev Korsvej,2004,80,45
STILLINGVEJ,n.f. Edelhoffvej,2005,80,76
STILLINGVEJ,n.f. Harlev Kirkevej,2004,80,78
STILLINGVEJ,s.f. Harlev Kirkevej,2005,80,80
STILLINGVEJ,s.f. Tarskovvej,2005,80,83
STRANDBAKKEVEJ,nv.f. Bredkær Tværvej,2007,50,30
STRANDVANGSVEJ,s.f. Gammel Strandvangsvej,2003,50,43
STRANDVEJEN,n.f. Marselis Boulevard,2007,50,47
STRANDVEJEN,sø.f. Carl Nielsens Vej,2007,60,58
SVERIGESGADE,nø.f. Hveensgade,2006,50,27
SØFTENVEJ,v.f. Nymøllevej,2013,80,76
SØHOLMVEJ,nv.f. Søkjærvej,2008,40,41
SØLYSTGADE,sv.f. Sjællandsgade,2011,50,18
SØNDERSKOVVEJ,s.f. Indelukket,2007,50,53
SØNDERSKOVVEJ,mellem Indelukket og Elsted Byvej,2003,50,61
SØNDERSKOVVEJ,n.f. Hovmarken,2013,50,56
SØNDERVANGS ALLE,s.f. Runegårdsvej,2007,50,55
SØNDRE RINGGADE,nv.f. Jyllands Allé,2013,50,39
SØREN FRICHS VEJ,ø.f. Viby Ringvej,2013,50,48
TAMMERISVEJ,n.f. Kastaniebakken,2006,50,33
TANDERVEJ,sv.f. Agervej,2013,50,40
TERP SKOVVEJ,ø.f. Stenhøjsvej,2009,50,48
TESTRUPVEJ,ø.f. Tingskovvej (på lige strækning),2004,40,44
THORVALDSENSGADE,ud for nr. 13/16,2006,50,27
THUNØGADE,ø.f. Ny Munkegade,2011,50,26
TILST VESTERVEJ,s.f. Kronborgvej,2006,50,52
TISETVEJ,vest for nr. 54,2003,80,79
TORDENSKJOLDSGADE,n.f. Herluf Trolles Gade,2013,50,41
TORSHØJVEJ,n.f. Hovedvejen,2013,80,75
TORSHØJVEJ,ml. Motorvejen og Transportcenter,2008,80,68
TOUSVEJ,nv.f. Søren Frichs Vej,2009,50,42
TOUSVEJ,s.f. I.P. Jacobsensvej,2006,50,37
TRETOMMERVEJ,v.f. Langhøjvej,2007,50,36
TULIPANVEJ,v.f. Enebærvej,2013,50,44
TULSTRUPVEJ,s.f. Østergårdsvej (n.f. Kirke),2004,50,38
VEJLBY RINGVEJ,sv. f. Bryggervej,2013,70,54
VENØVEJ,s.f. Mejløvænget,2004,50,42
VENØVEJ,n.f. Orøvænget,2013,50,54
VESTERMØLLEVEJ,v.f. Hornsbjergvej,2008,80,67
VESTERMØLLEVEJ,sv.f. Holmkærvej,2013,60,54
VESTRE KONGEVEJ,nø.f. Moltkesvej,2009,50,46
VESTRE RINGGADE,på Ringgadebroen,2013,60,53
VESTRE RINGGADE,nø.f. Eugen Warmings Vej,2013,60,60
VIBORGVEJ,sø.f. Johan Langes Vej,2013,50,50
VIBORGVEJ,nv.f. Vestre Ringgade,2007,60,48
VIBORGVEJ,sø.f. Åby Ringvej,2013,60,54
VIBORGVEJ,nv.f. Åby Ringvej,2005,70,55
VIBORGVEJ,v.f. Munkemosevej,2011,70,61
VIBORGVEJ,ø.f. Bredskiftevej,2008,70,65
VIBORGVEJ,ø.f. Havkærvej,2011,70,59
VIBORGVEJ,ø.f. Holmstruphøjvej,2011,70,64
VIBORGVEJ,ø.f. Anelystvej,2011,70,71
VIBORGVEJ,v.f. Anelystvej,2013,70,67
VIBORGVEJ,ø.f. Østjyske motorvej,2010,80,66
VIBY RINGVEJ,n.f. Søren Frichs Vej,2013,70,65
VIBY RINGVEJ,n.f. Åhavevej,2010,70,71
VILHELM BECKS VEJ,ø.f. Kastanievej,2003,50,49
VIOLVEJ,nv.f. Nordre Strandvej,2009,50,40
VISTOFTVEJ,n.f. Vistoftparken,2008,50,50
VORREGÅRDS ALLÉ,Ved skolen,2010,50,44
VORREVEJ,s.ø. f. Kirkemosevej,2002,80,50
VOSNÆSVEJ,v.f. Stenhusvej,2012,50,52
WILHELM MEYERS ALLE,ø.f. Naturhistorisk Museum,2004,50,34
WILHELM MEYERS ALLE,ø.f. Bartholins Allé,2007,50,28
ÆBLEØVEJ,s.f. Fejøvænget,2004,50,48
ØLSTEDVEJ,udfor nr. 102,2005,80,56
ØRNEREDEVEJ,n.f. Ørnereden,2003,40,45
